pca_1,pca_2,tsne_1,tsne_2,dataset,path,similar_image_path
-2020.51004,-2130.417826,0.5897995,-1.129147,Cityscapes,dataset\original_cityscapes_inputs\432.jpeg,dataset\SYNTHIA_256\image\0005499.png
-5019.572736,8722.432296,-2.7853177,-6.749163,Cityscapes,dataset\original_cityscapes_inputs\345.jpeg,dataset\SYNTHIA_256\image\0009112.png
-6073.918768,-1992.387204,2.8170745,-4.846512,Cityscapes,dataset\original_cityscapes_inputs\201.jpeg,dataset\SYNTHIA_256\image\0003912.png
436.677667,8377.672076,-5.7656875,-11.499694,Cityscapes,dataset\original_cityscapes_inputs\356.jpeg,dataset\SYNTHIA_256\image\0008199.png
8697.088005,940.317324,-5.4368963,-1.463701,Cityscapes,dataset\original_cityscapes_inputs\263.jpeg,dataset\SYNTHIA_256\image\0002262.png
3485.537859,-4825.391789,-4.720319,4.172627,Cityscapes,dataset\original_cityscapes_inputs\188.jpeg,dataset\SYNTHIA_256\image\0005302.png
-6650.60402,921.1399677,1.2333893,-0.7504404,Cityscapes,dataset\original_cityscapes_inputs\399.jpeg,dataset\SYNTHIA_256\image\0001722.png
3451.713261,-4805.884296,-1.0689366,3.036673,Cityscapes,dataset\original_cityscapes_inputs\424.jpeg,dataset\SYNTHIA_256\image\0005302.png
755.6584522,14257.54034,-6.50384,-4.672907,Cityscapes,dataset\original_cityscapes_inputs\267.jpeg,dataset\SYNTHIA_256\image\0006947.png
-2484.640542,-4422.142875,1.6433462,1.6652974,Cityscapes,dataset\original_cityscapes_inputs\253.jpeg,dataset\SYNTHIA_256\image\0000526.png
10357.17627,-18049.6807,5.8984246,4.9070067,Cityscapes,dataset\original_cityscapes_inputs\196.jpeg,dataset\SYNTHIA_256\image\0003617.png
-548.8211739,-2140.86207,2.400739,-1.0459254,Cityscapes,dataset\original_cityscapes_inputs\317.jpeg,dataset\SYNTHIA_256\image\0005499.png
4178.127354,-9846.071172,5.1586905,4.8777776,Cityscapes,dataset\original_cityscapes_inputs\288.jpeg,dataset\SYNTHIA_256\image\0003139.png
-1474.598983,-1962.737795,1.1258589,-1.7716484,Cityscapes,dataset\original_cityscapes_inputs\123.jpeg,dataset\SYNTHIA_256\image\0005499.png
