pca_1,pca_2,tsne_1,tsne_2,dataset,path,similar_name,similar_image_paths,similar_label_paths,IoU_score
-1281.208359863922,-4867.425130873981,-1.4511056,10.699926,Cityscapes,dataset\original_cityscapes_inputs\80.jpeg,0003550.png,dataset\SYNTHIA_256\image\0003550.png,dataset\SYNTHIA_256\new_labels_100\0003550.png,0.4846343994140625
415.6302917970647,7513.323157523209,2.8052688,5.9722095,Cityscapes,dataset\original_cityscapes_inputs\161.jpeg,0004688.png,dataset\SYNTHIA_256\image\0004688.png,dataset\SYNTHIA_256\new_labels_100\0004688.png,0.7407073974609375
-7482.762011981755,-9609.549628824208,1.7526988,-12.23351,Cityscapes,dataset\original_cityscapes_inputs\108.jpeg,0003550.png,dataset\SYNTHIA_256\image\0003550.png,dataset\SYNTHIA_256\new_labels_100\0003550.png,0.491546630859375
-1768.1242208966844,12669.277932309573,10.832092,5.2651434,Cityscapes,dataset\original_cityscapes_inputs\99.jpeg,0004688.png,dataset\SYNTHIA_256\image\0004688.png,dataset\SYNTHIA_256\new_labels_100\0004688.png,0.5528106689453125
5161.797359688105,7883.8830894846715,12.371468,21.15214,Cityscapes,dataset\original_cityscapes_inputs\181.jpeg,0004329.png,dataset\SYNTHIA_256\image\0004329.png,dataset\SYNTHIA_256\new_labels_100\0004329.png,0.5845947265625
2157.0675752397924,7497.355869621109,0.269641,5.9678235,Cityscapes,dataset\original_cityscapes_inputs\152.jpeg,0000489.png,dataset\SYNTHIA_256\image\0000489.png,dataset\SYNTHIA_256\new_labels_100\0000489.png,0.5236968994140625
-3375.6963111725627,-4778.684617254664,-4.422726,-1.9611166,Cityscapes,dataset\original_cityscapes_inputs\391.jpeg,0005323.png,dataset\SYNTHIA_256\image\0005323.png,dataset\SYNTHIA_256\new_labels_100\0005323.png,0.549041748046875
-3542.9400554397007,2804.8182792903795,-8.457757,-2.9996827,Cityscapes,dataset\original_cityscapes_inputs\253.jpeg,0005323.png,dataset\SYNTHIA_256\image\0005323.png,dataset\SYNTHIA_256\new_labels_100\0005323.png,0.4279022216796875
2804.5631592951554,297.44552401307277,-2.737144,8.390864,Cityscapes,dataset\original_cityscapes_inputs\499.jpeg,0004329.png,dataset\SYNTHIA_256\image\0004329.png,dataset\SYNTHIA_256\new_labels_100\0004329.png,0.624481201171875
-5446.111399493324,1345.3595355348277,3.2311003,-2.3762584,Cityscapes,dataset\original_cityscapes_inputs\201.jpeg,0000303.png,dataset\SYNTHIA_256\image\0000303.png,dataset\SYNTHIA_256\new_labels_100\0000303.png,0.51947021484375
-1281.2083598639201,-4867.4251308739795,-1.4509463,10.69987,Cityscapes,dataset\original_cityscapes_inputs\80.jpeg,0003550.png,dataset\SYNTHIA_256\image\0003550.png,dataset\SYNTHIA_256\new_labels_100\0003550.png,0.4846343994140625
6216.898915373858,-5317.276471267623,-9.630149,6.180762,Cityscapes,dataset\original_cityscapes_inputs\241.jpeg,0004759.png,dataset\SYNTHIA_256\image\0004759.png,dataset\SYNTHIA_256\new_labels_100\0004759.png,0.5653228759765625
5443.875613130596,13257.52931504248,12.025743,11.915365,Cityscapes,dataset\original_cityscapes_inputs\369.jpeg,0004605.png,dataset\SYNTHIA_256\image\0004605.png,dataset\SYNTHIA_256\new_labels_100\0004605.png,0.590972900390625
6406.735236367535,4822.669434552301,-14.043664,-8.696448,Cityscapes,dataset\original_cityscapes_inputs\69.jpeg,0004446.png,dataset\SYNTHIA_256\image\0004446.png,dataset\SYNTHIA_256\new_labels_100\0004446.png,0.600189208984375
-3363.689962738519,-3215.2158699432903,-0.8500236,-7.1849957,Cityscapes,dataset\original_cityscapes_inputs\406.jpeg,0004688.png,dataset\SYNTHIA_256\image\0004688.png,dataset\SYNTHIA_256\new_labels_100\0004688.png,0.5294342041015625
2297.3494811326527,-5621.041262731682,-10.329864,13.069413,Cityscapes,dataset\original_cityscapes_inputs\64.jpeg,0004446.png,dataset\SYNTHIA_256\image\0004446.png,dataset\SYNTHIA_256\new_labels_100\0004446.png,0.6315155029296875
5722.380744610701,-6176.621984772064,-7.882751,2.7268496,Cityscapes,dataset\original_cityscapes_inputs\417.jpeg,0004329.png,dataset\SYNTHIA_256\image\0004329.png,dataset\SYNTHIA_256\new_labels_100\0004329.png,0.585418701171875
-371.5875118030471,-126.49369910775093,-7.0085473,-19.0089,Cityscapes,dataset\original_cityscapes_inputs\12.jpeg,0000489.png,dataset\SYNTHIA_256\image\0000489.png,dataset\SYNTHIA_256\new_labels_100\0000489.png,0.4744873046875
-8559.080582169647,-3143.318322593333,2.06729,-7.8337593,Cityscapes,dataset\original_cityscapes_inputs\495.jpeg,0000280.png,dataset\SYNTHIA_256\image\0000280.png,dataset\SYNTHIA_256\new_labels_100\0000280.png,0.473297119140625
9651.769168909414,8593.33503931389,7.613298,9.652859,Cityscapes,dataset\original_cityscapes_inputs\363.jpeg,0005323.png,dataset\SYNTHIA_256\image\0005323.png,dataset\SYNTHIA_256\new_labels_100\0005323.png,0.5271148681640625
1006.8711418466168,2498.1469296558457,6.8958864,7.6988482,Cityscapes,dataset\original_cityscapes_inputs\238.jpeg,0005323.png,dataset\SYNTHIA_256\image\0005323.png,dataset\SYNTHIA_256\new_labels_100\0005323.png,0.4894866943359375
3554.1987114295703,1349.5428136396572,-13.268282,16.17868,Cityscapes,dataset\original_cityscapes_inputs\184.jpeg,0004329.png,dataset\SYNTHIA_256\image\0004329.png,dataset\SYNTHIA_256\new_labels_100\0004329.png,0.4671173095703125
-3544.2823333734364,10250.952507938506,13.138355,7.547548,Cityscapes,dataset\original_cityscapes_inputs\480.jpeg,0005323.png,dataset\SYNTHIA_256\image\0005323.png,dataset\SYNTHIA_256\new_labels_100\0005323.png,0.64227294921875
-2581.640421784945,-6163.003760112655,3.0459032,-5.468347,Cityscapes,dataset\original_cityscapes_inputs\360.jpeg,0004605.png,dataset\SYNTHIA_256\image\0004605.png,dataset\SYNTHIA_256\new_labels_100\0004605.png,0.5486907958984375
4321.4561716984945,8799.686180214005,1.680861,8.0354185,Cityscapes,dataset\original_cityscapes_inputs\70.jpeg,0004446.png,dataset\SYNTHIA_256\image\0004446.png,dataset\SYNTHIA_256\new_labels_100\0004446.png,0.6630096435546875
-5098.50210869391,8172.482592226643,6.217508,3.307766,Cityscapes,dataset\original_cityscapes_inputs\446.jpeg,0005598.png,dataset\SYNTHIA_256\image\0005598.png,dataset\SYNTHIA_256\new_labels_100\0005598.png,0.5479888916015625
13192.873390509605,15849.119967974235,8.07051,15.041896,Cityscapes,dataset\original_cityscapes_inputs\81.jpeg,0002033.png,dataset\SYNTHIA_256\image\0002033.png,dataset\SYNTHIA_256\new_labels_100\0002033.png,0.439056396484375
1456.2029949537382,5007.209415998866,-0.054880645,5.085877,Cityscapes,dataset\original_cityscapes_inputs\353.jpeg,0004688.png,dataset\SYNTHIA_256\image\0004688.png,dataset\SYNTHIA_256\new_labels_100\0004688.png,0.7069854736328125
-2556.128722573831,5712.730368382421,1.0794766,-3.2659414,Cityscapes,dataset\original_cityscapes_inputs\412.jpeg,0004759.png,dataset\SYNTHIA_256\image\0004759.png,dataset\SYNTHIA_256\new_labels_100\0004759.png,0.5820159912109375
-29.22999750177936,6970.221846790162,8.268683,7.497986,Cityscapes,dataset\original_cityscapes_inputs\374.jpeg,0005323.png,dataset\SYNTHIA_256\image\0005323.png,dataset\SYNTHIA_256\new_labels_100\0005323.png,0.5287017822265625
4458.4567672289295,-10973.961922067867,-16.224463,4.049439,Cityscapes,dataset\original_cityscapes_inputs\214.jpeg,0004759.png,dataset\SYNTHIA_256\image\0004759.png,dataset\SYNTHIA_256\new_labels_100\0004759.png,0.473541259765625
967.9954961872056,6958.836481987517,9.037395,5.164858,Cityscapes,dataset\original_cityscapes_inputs\8.jpeg,0005323.png,dataset\SYNTHIA_256\image\0005323.png,dataset\SYNTHIA_256\new_labels_100\0005323.png,0.5608367919921875
